Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées,Densite de la Station
6006,Notre-Dame-des-Champs - Stanislas,OUI,19,12,7,2,5,OUI,OUI,2025-03-13T05:55:01+00:00,"48.84479928858768, 2.329337755887181",Paris,75056,0.3684210526315789
9028,Moncey - Blanche,OUI,17,16,1,0,1,OUI,OUI,2025-03-13T05:56:04+00:00,"48.88006587474148, 2.3310810327529907",Paris,75056,0.058823529411764705
8010,Liège - Moscou,OUI,16,13,3,2,1,OUI,OUI,2025-03-13T05:59:32+00:00,"48.8795431, 2.3264628",Paris,75056,0.1875
19026,Place de Rhin et Danube,OUI,14,14,0,0,0,OUI,OUI,2025-03-13T05:51:33+00:00,"48.88192765861766, 2.392586767673493",Paris,75056,0.0
31022,Mairie de Montreuil,OUI,51,43,8,5,3,OUI,OUI,2025-03-13T05:56:21+00:00,"48.86131452758348, 2.440614402294159",Montreuil,93048,0.1568627450980392
45003,11 Novembre 1918 - 8 Mai 1945,OUI,36,12,24,14,10,OUI,OUI,2025-03-13T05:54:49+00:00,"48.80889533774377, 2.5382421165704727",Champigny-sur-Marne,94017,0.6666666666666666
31009,Place Du Général De Gaulle,OUI,25,22,3,0,3,OUI,OUI,2025-03-13T05:56:04+00:00,"48.8687591, 2.4329931",Montreuil,93048,0.12
12111,Claude Decaen - Cannebière,OUI,25,14,11,4,7,OUI,OUI,2025-03-13T06:00:52+00:00,"48.83761417037952, 2.397253782195704",Paris,75056,0.44
41302,Charles de Gaulle - Beauté,OUI,48,42,6,0,6,OUI,OUI,2025-03-13T06:00:55+00:00,"48.83649602312711, 2.479562651149885",Nogent-sur-Marne,94052,0.125
11047,Amelot - Saint-Sébastien,OUI,29,8,21,19,2,OUI,OUI,2025-03-13T05:58:50+00:00,"48.861142162761, 2.3677996181077",Paris,75056,0.7241379310344828
14020,Cimetière de Montrouge,OUI,58,40,18,3,15,OUI,OUI,2025-03-13T06:01:04+00:00,"48.821466904768, 2.3215785772007",Paris,75056,0.3103448275862069
19043,Delphine Seyrig - Général Leclerc,OUI,52,45,7,2,5,OUI,OUI,2025-03-13T06:00:40+00:00,"48.893923963057865, 2.39790290594101",Pantin,93055,0.1346153846153846
33017,Anatole France - President Roosevelt,OUI,26,6,20,6,14,OUI,OUI,2025-03-13T05:59:53+00:00,"48.9155156, 2.3814103",Aubervilliers,93001,0.7692307692307693
18107,Chartres - La Charbonnière,OUI,34,31,3,1,2,OUI,OUI,2025-03-13T05:55:40+00:00,"48.8847601, 2.3534657",Paris,75056,0.08823529411764706
15042,Henry Farman,OUI,16,11,5,4,1,OUI,OUI,2025-03-13T05:52:02+00:00,"48.83372430280548, 2.2713854536414146",Paris,75056,0.3125
20042,Pyrénées - Emmery,OUI,39,33,6,0,6,OUI,OUI,2025-03-13T05:59:42+00:00,"48.872010281270974, 2.392039597034455",Paris,75056,0.15384615384615385
18011,Pajol - Place Herbert,OUI,37,15,22,10,12,OUI,OUI,2025-03-13T06:00:16+00:00,"48.8927825, 2.3635598",Paris,75056,0.5945945945945946
15067,Desaix - Edgar Faure,OUI,11,3,8,8,0,OUI,OUI,2025-03-13T05:55:39+00:00,"48.852804604940296, 2.293077029857222",Paris,75056,0.7272727272727273
33102,Gabriel Péri - Francisco Ferrer,OUI,17,15,2,1,1,OUI,OUI,2025-03-13T06:00:35+00:00,"48.88633710236977, 2.407338917255402",Le Pré-Saint-Gervais,93061,0.11764705882352941
17030,Pereire - Rennequin,OUI,22,3,19,13,6,OUI,OUI,2025-03-13T05:57:17+00:00,"48.88364782887555, 2.2952447086572647",Paris,75056,0.8636363636363636
21212,Marne - Germain Dardan,OUI,21,20,1,1,0,OUI,OUI,2025-03-13T05:51:05+00:00,"48.81217465201, 2.3035024699104",Montrouge,92049,0.047619047619047616
11027,Saint-Ambroise - Parmentier,OUI,36,10,26,23,3,OUI,OUI,2025-03-13T05:59:11+00:00,"48.862147844548, 2.3772348091006",Paris,75056,0.7222222222222222
19120,Carducci - Place Hannah Arendt,OUI,26,22,4,0,4,OUI,OUI,2025-03-13T05:59:58+00:00,"48.877436681515796, 2.3860743641853337",Paris,75056,0.15384615384615385
12128,Pyramide - Ecole du Breuil,OUI,32,24,8,2,6,OUI,OUI,2025-03-13T06:00:27+00:00,"48.82237977153955, 2.4586871266365056",Paris,75056,0.25
11113,Richard Lenoir - Republique,OUI,53,8,45,42,3,OUI,OUI,2025-03-13T06:01:02+00:00,"48.8667175, 2.3692541",Paris,75056,0.8490566037735849
46002,Rouget de Lisle,OUI,35,2,33,15,18,OUI,OUI,2025-03-13T05:53:44+00:00,"48.764615483395254, 2.4071189761161804",Choisy-le-Roi,94022,0.9428571428571428
15104,Hôpital Européen Georges Pompidou,OUI,63,30,33,24,9,OUI,OUI,2025-03-13T05:59:44+00:00,"48.837695319163, 2.2753742337227",Paris,75056,0.5238095238095238
10016,Récollets - Square Villemin,OUI,17,15,2,0,2,OUI,OUI,2025-03-13T06:00:58+00:00,"48.875034655883944, 2.359801238597928",Paris,75056,0.11764705882352941
14003,Schoelcher - Raspail,OUI,48,36,12,4,8,OUI,OUI,2025-03-13T05:53:45+00:00,"48.83681733526843, 2.3312794080411474",Paris,75056,0.25
42706,Roger Salengro - Fontainebleau,OUI,25,25,0,0,0,OUI,OUI,2025-03-13T05:58:00+00:00,"48.814548697325, 2.3611663654447",Le Kremlin-Bicêtre,94043,0.0
43008,Fontenay - Libération,OUI,22,15,7,5,2,OUI,OUI,2025-03-13T06:00:02+00:00,"48.847803063647, 2.4451419711113",Vincennes,94080,0.3181818181818182
44006,Concorde - Stalingrad,OUI,34,17,17,9,8,OUI,OUI,2025-03-13T05:58:15+00:00,"48.7985844, 2.3821302",Vitry-sur-Seine,94081,0.5
